City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,33.78,98,85,5.53,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,71.51,57,65,4.56,broken clouds
2,Albany,US,42.6001,-73.9662,63.18,50,42,7.0,scattered clouds
3,Asfi,MA,32.2994,-9.2372,64.67,88,24,6.93,few clouds
4,Ushuaia,AR,-54.8,-68.3,29.86,93,75,23.02,light snow
5,Port Alfred,ZA,-33.5906,26.891,58.96,81,26,9.89,scattered clouds
6,Halifax,CA,44.6453,-63.5724,64.89,70,40,6.91,scattered clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,72.27,87,1,7.81,clear sky
8,Faya,SA,18.3851,42.4509,68.11,23,7,5.1,clear sky
9,Khatanga,RU,71.9667,102.5,29.68,85,97,10.25,overcast clouds
10,Butaritari,KI,3.0707,172.7902,83.91,79,96,18.28,light rain
11,Yulara,AU,-25.2406,130.9889,49.84,57,100,8.05,overcast clouds
12,Aden,YE,12.7794,45.0367,86.41,70,99,7.92,overcast clouds
13,Vieira De Leiria,PT,39.8695,-8.9324,59.68,90,0,2.3,clear sky
14,Salinas,US,36.6777,-121.6555,81.57,68,90,14.97,overcast clouds
15,Westport,US,41.1415,-73.3579,75.74,51,1,1.99,clear sky
16,Saskylakh,RU,71.9167,114.0833,33.73,70,100,5.23,overcast clouds
17,Smolenskoye,RU,52.3044,85.0781,49.41,79,71,10.71,broken clouds
18,Leo,BF,11.1,-2.1,87.64,44,98,8.9,overcast clouds
19,Avera,US,33.194,-82.5271,87.53,47,1,7.96,clear sky
20,Korla,CN,41.7597,86.1469,78.53,14,5,0.49,clear sky
21,Goderich,CA,43.7501,-81.7165,49.21,81,100,6.91,overcast clouds
22,Aklavik,CA,68.2191,-135.0107,33.8,60,75,14.97,light snow
23,Bratsk,RU,56.1325,101.6142,44.6,49,50,13.42,scattered clouds
24,Varzea Da Palma,BR,-17.5981,-44.7308,72.81,60,100,3.09,overcast clouds
25,Sinnamary,GF,5.3833,-52.95,76.01,93,100,8.05,light rain
26,Meulaboh,ID,4.1363,96.1285,78.69,83,90,2.95,overcast clouds
27,Kapaa,US,22.0752,-159.319,82.4,65,20,10.36,few clouds
28,Jamestown,US,42.097,-79.2353,59.02,60,1,3.0,clear sky
29,Turbat,PK,26.0023,63.044,88.84,16,2,1.14,clear sky
30,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,49,5.99,scattered clouds
31,Taoudenni,ML,22.6783,-3.9836,98.91,14,41,10.38,scattered clouds
32,Balkanabat,TM,39.5108,54.3671,72.59,51,0,3.78,clear sky
33,Vaini,TO,-21.2,-175.2,77.16,73,20,10.36,few clouds
34,Kodiak,US,57.79,-152.4072,57.2,58,1,10.36,clear sky
35,Faanui,PF,-16.4833,-151.75,81.36,68,18,11.52,few clouds
36,Katsuura,JP,35.1333,140.3,74.23,77,100,4.52,overcast clouds
37,Glotovka,RU,53.9491,46.7042,50.95,71,13,3.49,few clouds
38,Provideniya,RU,64.3833,-173.3,44.71,61,0,13.42,clear sky
39,Mar Del Plata,AR,-38.0023,-57.5575,64.0,55,0,8.01,clear sky
40,Harper,LR,4.375,-7.7169,79.16,85,41,6.98,scattered clouds
41,Hithadhoo,MV,-0.6,73.0833,81.95,78,100,18.79,overcast clouds
42,Cape Town,ZA,-33.9258,18.4232,58.1,88,90,13.56,light rain
43,Airai,TL,-8.9266,125.4092,65.66,71,59,5.01,broken clouds
44,Cabo San Lucas,MX,22.8909,-109.9124,93.51,19,20,4.61,few clouds
45,Mahebourg,MU,-20.4081,57.7,74.25,88,40,2.3,scattered clouds
46,Cidreira,BR,-30.1811,-50.2056,60.46,70,0,6.76,clear sky
47,Santo Domingo,DO,18.5001,-69.9886,77.04,84,81,1.99,broken clouds
