City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-05-24 19:53:36,-21.2,-175.2,71.76,88,75,2.3
1,Ribeira Grande,PT,2021-05-24 19:52:50,38.5167,-28.7,64.8,68,20,14.97
2,Loukhi,RU,2021-05-24 19:56:52,66.0764,33.0381,34.81,91,100,4.7
3,Saint-Philippe,RE,2021-05-24 19:53:07,-21.3585,55.7679,71.19,79,94,15.35
4,Kumluca,TR,2021-05-24 19:56:52,36.3703,30.2869,77.95,35,1,7.7
5,Pouembout,NC,2021-05-24 19:56:53,-21.1333,164.9,67.62,70,38,8.34
6,Port Blair,IN,2021-05-24 19:54:20,11.6667,92.75,83.34,82,100,23.31
7,Bethel,US,2021-05-24 19:53:12,41.3712,-73.414,70.56,57,95,1.99
8,Rikitea,PF,2021-05-24 19:53:00,-23.1203,-134.9692,76.42,82,100,18.92
9,Ushuaia,AR,2021-05-24 19:52:55,-54.8,-68.3,33.46,93,75,18.41
10,Hvide Sande,DK,2021-05-24 19:56:53,56.0045,8.1294,53.1,96,100,8.46
11,Tuktoyaktuk,CA,2021-05-24 19:53:45,69.4541,-133.0374,30.2,100,90,8.05
12,Thompson,CA,2021-05-24 19:52:12,55.7435,-97.8558,51.96,87,90,4.61
13,Aklavik,CA,2021-05-24 19:54:22,68.2191,-135.0107,39.92,66,96,9.51
14,Saint Anthony,US,2021-05-24 19:53:06,45.0205,-93.218,85.89,57,75,3.0
15,Atuona,PF,2021-05-24 19:53:09,-9.8,-139.0333,80.24,76,19,18.9
16,Luganville,VU,2021-05-24 19:56:55,-15.5333,167.1667,74.17,82,96,8.84
17,Hobart,AU,2021-05-24 19:51:38,-42.8794,147.3294,56.26,82,99,3.0
18,Busselton,AU,2021-05-24 19:51:37,-33.65,115.3333,48.09,71,100,6.24
19,Punta Arenas,CL,2021-05-24 19:52:10,-53.15,-70.9167,39.31,68,40,25.17
20,Longyearbyen,SJ,2021-05-24 19:47:57,78.2186,15.6401,28.24,69,75,9.22
21,Nikolskoye,RU,2021-05-24 19:52:43,59.7035,30.7861,51.69,86,5,4.63
22,Komsomolskiy,UZ,2021-05-24 19:53:51,40.4272,71.7189,72.32,37,100,9.22
23,Jiaohe,CN,2021-05-24 19:56:56,43.7286,127.3447,37.78,73,8,2.33
24,Abha,SA,2021-05-24 19:55:04,18.2164,42.5053,69.62,35,20,2.15
25,Atasu,KZ,2021-05-24 19:56:56,48.6814,71.6433,68.58,39,1,8.93
26,Jamestown,US,2021-05-24 19:49:59,42.097,-79.2353,75.85,61,90,5.99
27,Mar Del Plata,AR,2021-05-24 19:53:07,-38.0023,-57.5575,63.12,56,0,14.0
28,Souillac,MU,2021-05-24 19:51:31,-20.5167,57.5167,73.78,75,75,13.73
29,Lima,PE,2021-05-24 19:52:39,-12.0432,-77.0282,70.14,68,0,10.36
30,Qaanaaq,GL,2021-05-24 19:53:01,77.484,-69.3632,33.49,74,0,6.11
31,Ko Samui,TH,2021-05-24 19:56:57,9.5357,99.9357,85.1,72,100,17.25
32,Upernavik,GL,2021-05-24 19:53:05,72.7868,-56.1549,33.35,79,57,6.42
33,Sobolevo,RU,2021-05-24 19:52:46,54.4299,31.8996,48.29,86,1,3.29
34,Kingsport,US,2021-05-24 19:56:57,36.5484,-82.5618,89.11,44,85,4.0
35,Albany,US,2021-05-24 19:51:35,42.6001,-73.9662,75.15,35,46,3.49
36,Port Alfred,ZA,2021-05-24 19:53:11,-33.5906,26.891,73.09,40,100,13.02
37,Hermanus,ZA,2021-05-24 19:52:59,-34.4187,19.2345,60.91,82,55,7.38
38,Bubaque,GW,2021-05-24 19:56:58,11.2833,-15.8333,79.03,76,77,23.17
39,Olafsvik,IS,2021-05-24 19:53:23,64.8945,-23.7142,45.07,73,70,7.09
40,Dutlwe,BW,2021-05-24 19:56:58,-23.9833,23.9,56.93,41,8,7.02
41,Arlit,NE,2021-05-24 19:53:42,18.7369,7.3853,95.68,6,0,8.14
42,Norman Wells,CA,2021-05-24 19:52:25,65.282,-126.8329,48.24,71,20,14.97
43,Sitka,US,2021-05-24 19:54:14,57.0531,-135.33,48.78,76,99,3.6
44,Surany,SK,2021-05-24 19:56:59,48.0861,18.1845,54.99,89,100,11.5
45,Yulara,AU,2021-05-24 19:55:02,-25.2406,130.9889,62.44,82,90,8.05
46,Tiksi,RU,2021-05-24 19:53:32,71.6872,128.8694,35.49,70,97,7.76
47,Puerto Ayora,EC,2021-05-24 19:53:18,-0.7393,-90.3518,84.16,85,52,10.0
48,Labrea,BR,2021-05-24 19:57:00,-7.2586,-64.7981,83.37,82,47,2.64
49,San Ignacio,BZ,2021-05-24 19:57:00,17.1561,-89.0714,87.94,60,75,9.26
50,Tateyama,JP,2021-05-24 19:57:00,34.9833,139.8667,65.98,85,100,8.21
51,Arraial Do Cabo,BR,2021-05-24 19:52:29,-22.9661,-42.0278,75.06,60,75,6.91
52,Chokurdakh,RU,2021-05-24 19:54:18,70.6333,147.9167,28.74,99,95,5.19
53,Cape Town,ZA,2021-05-24 19:51:19,-33.9258,18.4232,62.1,81,40,1.01
54,Luau,AO,2021-05-24 19:57:01,-10.7073,22.2247,60.22,47,3,3.89
55,Talnakh,RU,2021-05-24 19:55:07,69.4865,88.3972,28.6,92,100,19.6
56,Iqaluit,CA,2021-05-24 19:52:48,63.7506,-68.5145,22.89,61,45,3.96
57,Mataura,NZ,2021-05-24 19:52:55,-46.1927,168.8643,30.81,98,6,3.0
58,Abu Zabad,SD,2021-05-24 19:57:01,12.35,29.25,91.87,16,64,7.02
59,Amuntai,ID,2021-05-24 19:57:02,-2.4177,115.2494,73.8,95,84,0.45
60,Torbay,CA,2021-05-24 19:54:04,47.6666,-52.7314,37.27,71,90,19.57
61,Khatanga,RU,2021-05-24 19:54:16,71.9667,102.5,30.92,99,100,2.08
62,Peace River,CA,2021-05-24 19:57:02,56.2501,-117.286,70.11,43,75,15.55
63,Bambous Virieux,MU,2021-05-24 19:54:15,-20.3428,57.7575,73.65,73,75,15.23
64,Hithadhoo,MV,2021-05-24 19:53:33,-0.6,73.0833,84.34,69,100,15.86
65,Yaypan,UZ,2021-05-24 19:57:03,40.3758,70.8156,74.35,38,50,2.26
66,East London,ZA,2021-05-24 19:50:50,-33.0153,27.9116,75.56,36,100,10.09
67,Burnie,AU,2021-05-24 19:57:04,-41.0667,145.9167,54.95,90,100,9.98
68,Cayenne,GF,2021-05-24 19:57:04,4.9333,-52.3333,78.84,90,90,10.36
69,Rabo De Peixe,PT,2021-05-24 19:54:51,37.8,-25.5833,63.91,66,40,4.94
70,Kaitangata,NZ,2021-05-24 19:53:20,-46.2817,169.8464,38.93,88,5,4.65
71,Bluff,NZ,2021-05-24 19:52:58,-46.6,168.3333,38.71,81,6,9.33
72,Raga,SS,2021-05-24 19:57:05,8.4596,25.678,80.37,51,100,6.62
73,Lavrentiya,RU,2021-05-24 19:54:12,65.5833,-171.0,34.92,78,94,13.98
74,Avarua,CK,2021-05-24 19:53:12,-21.2078,-159.775,82.45,89,75,11.5
75,Hilo,US,2021-05-24 19:54:19,19.7297,-155.09,81.81,77,13,10.0
76,Adrar,MR,2021-05-24 19:52:54,20.5022,-10.0711,95.95,14,41,13.98
77,Gat,IL,2021-05-24 19:57:05,31.61,34.7642,72.28,72,0,2.59
78,Port Elizabeth,ZA,2021-05-24 19:53:32,-33.918,25.5701,73.69,49,75,20.71
79,Berlevag,NO,2021-05-24 19:52:54,70.8578,29.0864,35.4,64,0,3.44
80,Ampanihy,MG,2021-05-24 19:57:06,-24.7,44.75,62.08,96,0,4.29
81,Provideniya,RU,2021-05-24 19:53:16,64.3833,-173.3,37.51,70,0,22.37
82,Pisco,PE,2021-05-24 19:53:32,-13.7,-76.2167,69.85,73,40,11.5
83,Pangnirtung,CA,2021-05-24 19:54:30,66.1451,-65.7125,26.6,68,75,11.5
84,Port Macquarie,AU,2021-05-24 19:53:30,-31.4333,152.9167,57.38,78,82,0.98
85,Port Lincoln,AU,2021-05-24 19:53:59,-34.7333,135.8667,59.86,65,100,24.63
86,Lewiston,US,2021-05-24 19:57:07,44.1003,-70.2148,71.94,45,59,12.08
87,Pevek,RU,2021-05-24 19:52:56,69.7008,170.3133,31.78,80,100,4.03
88,Yumen,CN,2021-05-24 19:57:07,40.2833,97.2,59.16,15,100,4.72
89,New Norfolk,AU,2021-05-24 19:53:26,-42.7826,147.0587,55.92,64,100,3.4
90,Palmeira,BR,2021-05-24 19:57:08,-25.4294,-50.0064,54.46,62,87,3.49
91,Bredasdorp,ZA,2021-05-24 19:52:49,-34.5322,20.0403,54.72,86,100,4.79
92,Bertrix,BE,2021-05-24 19:57:08,49.856,5.2554,46.78,96,100,9.46
93,Taoudenni,ML,2021-05-24 19:57:09,22.6783,-3.9836,98.28,18,7,21.21
94,Guanica,PR,2021-05-24 19:57:09,17.9716,-66.908,87.13,68,54,5.99
95,Kapaa,US,2021-05-24 19:51:13,22.0752,-159.319,83.48,65,40,0.63
96,Nyurba,RU,2021-05-24 19:57:09,63.2842,118.3319,45.57,62,100,3.89
97,Faya,SA,2021-05-24 19:55:05,18.3851,42.4509,69.91,34,26,3.53
98,Zhezkazgan,KZ,2021-05-24 19:57:10,47.8043,67.7144,73.74,31,2,15.26
99,Butaritari,KI,2021-05-24 19:51:58,3.0707,172.7902,76.42,95,100,19.8
100,Marawi,PH,2021-05-24 19:57:10,7.9986,124.2928,69.66,93,65,1.5
101,Hay River,CA,2021-05-24 19:52:27,60.8156,-115.7999,39.16,70,40,14.97
102,Aquiraz,BR,2021-05-24 19:57:11,-3.9014,-38.3911,84.29,79,100,10.13
103,Cidreira,BR,2021-05-24 19:54:11,-30.1811,-50.2056,59.88,62,0,17.83
104,Yellowknife,CA,2021-05-24 19:53:22,62.456,-114.3525,42.33,38,1,4.0
105,Troitskoye,RU,2021-05-24 19:57:11,52.9821,84.6757,57.51,81,94,2.89
106,Ngunguru,NZ,2021-05-24 19:53:29,-35.6167,174.5,54.16,73,100,25.84
107,Kurtalan,TR,2021-05-24 19:57:12,37.9272,41.7028,64.62,52,59,1.48
108,Lokosovo,RU,2021-05-24 19:57:12,61.1333,74.8167,50.88,49,100,6.42
109,Kidal,ML,2021-05-24 19:57:12,18.4411,1.4078,99.16,16,61,9.13
110,Saint George,US,2021-05-24 19:52:53,37.1041,-113.5841,79.63,18,1,3.0
111,Flores Costa Cuca,GT,2021-05-24 19:57:13,14.65,-91.8167,91.31,67,40,4.21
112,Vila Real De Santo Antonio,PT,2021-05-24 19:57:13,37.195,-7.4177,73.15,44,26,13.65
113,Stornoway,GB,2021-05-24 19:57:13,58.2093,-6.3865,48.16,87,90,23.02
114,Ust-Kuyga,RU,2021-05-24 19:55:05,70.0167,135.6,43.77,53,30,3.6
